id, Race , Party ,Sex, Age  ,house district, Trial     , LettersSent , 2008_11_04       , 2010_11_02       , 2012_11_06       , 2014_11_04       , 2016_11_08        , 2018_11_06       
1, W    , DEM   , F      ,53,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , IN-PERSON        , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
2, B    , DEM   , F      ,50,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP , ABSENTEE BY MAIL , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
3, B    , DEM   , F      ,52,1, CONTROL   ,0, ABSENTEE ONESTOP , ABSENTEE ONESTOP , DID NOT VOTE     , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
4, W    , DEM   , F      ,43,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
5, B    , DEM   , F      ,41,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP  , IN-PERSON        
6, B    , DEM   , F      ,41,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
7, W    , DEM   , F      ,67,1, CONTROL   ,0, DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE     , DID NOT VOTE     , ABSENTEE ONESTOP  , DID NOT VOTE     
8, W    , DEM   , F      ,62,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
9, B    , DEM   , F      ,60,1, CONTROL   ,0, ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
10, W    , DEM   , F      ,65,1, CONTROL   ,0, ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , ABSENTEE ONESTOP , DID NOT VOTE      , ABSENTEE ONESTOP 
11, W    , UNA   , F      ,65,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
12, W    , UNA   , F      ,35,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , DID NOT VOTE     
13, W    , UNA   , F      ,42,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , DID NOT VOTE     
14, W    , DEM   , F      ,71,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
15, W    , UNA   , F      ,32,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON        , IN-PERSON        , IN-PERSON         , IN-PERSON        
16, W    , UNA   , F      ,38,1, CONTROL   ,0, ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP  , IN-PERSON        
17, W    , UNA   , F      ,65,1, CONTROL   ,0, NOT REGISTERED   , DID NOT VOTE     , ABSENTEE ONESTOP , ABSENTEE BY MAIL , ABSENTEE ONESTOP  , ABSENTEE ONESTOP 
18, W    , UNA   , F      ,51,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , ABSENTEE ONESTOP , IN-PERSON        , IN-PERSON         , IN-PERSON        
19, W    , DEM   , F      ,43,1, CONTROL   ,0, IN-PERSON        , IN-PERSON        , IN-PERSON        , IN-PERSON        , IN-PERSON         , DID NOT VOTE     
20, B    , DEM   , F      ,39,1, CONTROL   ,0, ABSENTEE ONESTOP , DID NOT VOTE     , ABSENTEE ONESTOP , IN-PERSON        , ABSENTEE ONESTOP  , IN-PERSON        
21, U    , UNA   , F      ,37,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , IN-PERSON        , DID NOT VOTE     , PROVISIONAL       , IN-PERSON        
22, W    , UNA   , F      ,29,1, CONTROL   ,0, NOT REGISTERED   , NOT REGISTERED   , DID NOT VOTE     , DID NOT VOTE     , IN-PERSON         , IN-PERSON        
