 Race , Age  , Trial     , LettersSent ,YYES,YNO,Y3,Y4,Y5,Test
 W    ,53,2,0,YES,YES,YES,NO,YES,YES
 B    ,50,2,0,YES,YES,YES,YES,YES,YES
 B    ,52,2,0,YES,YES,NO,NO,YES,YES
 W    ,43,2,0,YES,YES,YES,YES,YES,YES
 B    ,41,2,0,YES,NO,YES,YES,YES,YES
 B    ,41,2,0,YES,YES,YES,YES,YES,YES
 W    ,67,2,0,NO,NO,NO,NO,YES,NO
 W    ,62,2,0,YES,YES,YES,YES,YES,YES
 B    ,60,2,0,YES,YES,YES,YES,YES,YES
 W    ,65,2,0,YES,YES,YES,YES,NO,YES
 W    ,65,2,0,YES,NO,YES,NO,YES,YES
 W    ,35,2,0,YES,YES,YES,YES,YES,NO
 W    ,42,2,0,YES,NO,YES,YES,YES,NO
 W    ,71,2,0,YES,NO,YES,YES,YES,YES
 W    ,32,2,0,YES,YES,YES,YES,YES,YES
 W    ,38,2,0,YES,YES,YES,NO,YES,YES
 W    ,65,2,0,NO,NO,YES,YES,YES,YES
 W    ,51,2,0,NO,NO,YES,YES,YES,YES
 W    ,43,2,0,YES,YES,YES,YES,YES,NO
 B    ,39,2,0,YES,NO,YES,YES,YES,YES
 U    ,37,2,0,NO,NO,YES,NO,YES,YES
 W    ,29,2,0,NO,NO,NO,NO,YES,YES
 B    ,61,2,0,YES,NO,YES,NO,YES,NO
 W    ,42,2,0,NO,NO,NO,YES,YES,YES
 W    ,65,2,0,NO,NO,NO,NO,YES,YES
 W    ,49,2,0,NO,NO,NO,NO,YES,YES
 W    ,31,2,0,NO,NO,YES,YES,YES,YES
 U    ,57,2,0,NO,NO,NO,NO,YES,YES
 U    ,20,2,0,NO,NO,NO,NO,NO,NO
 B    ,19,2,0,NO,NO,NO,NO,NO,NO
 W    ,51,2,0,YES,NO,YES,NO,YES,YES
 B    ,48,2,0,YES,YES,YES,YES,YES,YES
 W    ,83,2,0,YES,YES,YES,YES,YES,YES
 W    ,79,2,0,YES,NO,YES,YES,YES,NO
 W    ,38,2,0,NO,YES,YES,YES,YES,YES
 B    ,80,2,0,NO,NO,YES,YES,YES,YES
 W    ,36,2,0,NO,NO,YES,YES,YES,NO
 W    ,61,2,0,YES,NO,YES,YES,YES,YES
 W    ,55,2,0,YES,NO,YES,YES,YES,YES
 W    ,40,2,0,YES,NO,YES,YES,YES,YES
 W    ,34,2,0,YES,NO,YES,NO,YES,NO
 B    ,43,2,0,NO,NO,YES,YES,YES,YES
 W    ,76,2,0,NO,YES,YES,YES,YES,NO
 O    ,40,2,0,YES,NO,YES,YES,YES,YES
 W    ,52,2,0,NO,NO,NO,YES,YES,YES
 W    ,62,2,0,YES,NO,YES,YES,YES,NO
 W    ,43,2,0,YES,NO,YES,YES,YES,YES
 W    ,57,2,0,YES,NO,YES,NO,YES,YES
 W    ,39,2,0,YES,NO,YES,NO,YES,NO
 W    ,64,2,0,YES,YES,YES,YES,YES,NO
 W    ,31,2,0,YES,YES,YES,YES,YES,YES
 B    ,26,2,0,NO,YES,YES,YES,YES,YES
 W    ,47,2,0,NO,NO,YES,YES,YES,YES
 W    ,26,2,0,NO,NO,YES,YES,YES,YES
 B    ,44,2,0,NO,NO,YES,YES,YES,YES
 W    ,41,2,0,NO,NO,YES,NO,YES,YES
 W    ,27,2,0,NO,NO,YES,NO,YES,YES
 W    ,71,2,0,NO,NO,YES,YES,YES,YES
 W    ,57,2,0,NO,NO,YES,YES,YES,YES
 W    ,38,2,0,NO,NO,YES,NO,YES,YES
 A    ,39,2,0,NO,NO,NO,NO,YES,YES
 W    ,24,2,0,NO,NO,YES,NO,YES,NO
 A    ,63,2,0,NO,NO,NO,NO,YES,YES
 W    ,63,2,0,NO,NO,NO,NO,YES,YES
 W    ,51,2,0,YES,NO,YES,NO,YES,YES
 W    ,38,2,0,NO,NO,NO,NO,YES,YES
 A    ,73,2,0,NO,NO,NO,NO,YES,YES
 B    ,34,2,0,NO,NO,NO,NO,YES,NO
 B    ,19,2,0,NO,NO,NO,NO,NO,NO
 U    ,52,2,0,YES,NO,YES,NO,YES,YES
 W    ,46,2,0,YES,YES,YES,NO,YES,YES
 W    ,68,2,0,YES,NO,YES,YES,YES,YES
 B    ,68,2,0,YES,YES,YES,NO,YES,YES
 W    ,45,2,0,YES,NO,YES,NO,YES,YES
 W    ,53,2,0,YES,YES,YES,NO,YES,YES
 W    ,60,2,0,YES,NO,YES,NO,YES,YES
 W    ,57,2,0,YES,NO,YES,NO,YES,YES
 W    ,55,2,0,YES,NO,YES,YES,YES,YES
 W    ,69,2,0,YES,NO,YES,NO,YES,NO
 W    ,46,2,0,YES,YES,YES,YES,YES,YES
 W    ,43,2,0,YES,YES,YES,YES,NO,NO
 B    ,42,2,0,YES,YES,YES,YES,YES,YES
 W    ,49,2,0,YES,YES,YES,NO,NO,NO
 B    ,67,2,0,YES,YES,YES,NO,YES,NO
 W    ,55,2,0,YES,YES,YES,NO,YES,YES
 W    ,72,2,0,NO,NO,NO,NO,NO,NO
 B    ,59,2,0,NO,YES,YES,NO,YES,NO
 W    ,52,2,0,YES,NO,YES,YES,YES,YES
 W    ,46,2,0,YES,NO,YES,NO,YES,YES
 W    ,64,2,0,YES,YES,YES,YES,YES,NO
 W    ,48,2,0,YES,NO,YES,YES,YES,NO
 W    ,41,2,0,YES,NO,YES,YES,YES,YES
 W    ,60,2,0,YES,NO,YES,YES,YES,NO
 W    ,42,2,0,YES,YES,YES,NO,YES,YES
 W    ,43,2,0,YES,NO,YES,YES,YES,YES
 W    ,42,2,0,YES,YES,YES,NO,YES,YES
 W    ,50,2,0,YES,YES,YES,NO,YES,YES
 W    ,33,2,0,YES,NO,YES,NO,YES,NO
 W    ,38,2,0,YES,NO,YES,YES,YES,YES
 W    ,51,2,0,YES,NO,YES,YES,YES,YES
 W    ,32,2,0,YES,YES,YES,YES,YES,YES
 B    ,32,2,0,YES,YES,YES,YES,YES,YES
 B    ,62,2,0,YES,YES,YES,NO,YES,YES
 I    ,60,2,0,YES,NO,YES,NO,YES,YES
 A    ,74,2,0,NO,NO,YES,YES,YES,YES
 B    ,53,2,0,YES,YES,YES,NO,YES,YES
 W    ,34,2,0,YES,NO,YES,NO,YES,NO
 W    ,32,2,0,NO,NO,YES,YES,YES,YES
 B    ,66,2,0,NO,NO,YES,YES,YES,YES
 B    ,42,2,0,NO,NO,YES,NO,YES,YES
 W    ,45,2,0,NO,NO,YES,YES,YES,YES
 W    ,71,2,0,NO,NO,YES,NO,YES,YES
 W    ,23,2,0,NO,NO,NO,YES,YES,NO
 W    ,28,2,0,NO,NO,NO,NO,YES,NO
