id, Race , Party ,Sex, Age  ,house district, Trial     , LettersSent ,Y1,Y2,Y3,Y4,Y5,Test
1,1,1,1,53,1,1,0,1,1,1,2,1,1
2,2,1,1,50,1,1,0,1,1,1,1,1,1
3,2,1,1,52,1,1,0,1,1,2,2,1,1
4,1,1,1,43,1,1,0,1,1,1,1,1,1
5,2,1,1,41,1,1,0,1,2,1,1,1,1
6,2,1,1,41,1,1,0,1,1,1,1,1,1
7,1,1,1,67,1,1,0,2,2,2,2,1,2
8,1,1,1,62,1,1,0,1,1,1,1,1,1
9,2,1,1,60,1,1,0,1,1,1,1,1,1
10,1,1,1,65,1,1,0,1,1,1,1,2,1
11,1,3,1,65,1,1,0,1,2,1,2,1,1
12,1,3,1,35,1,1,0,1,1,1,1,1,2
13,1,3,1,42,1,1,0,1,2,1,1,1,2
14,1,1,1,71,1,1,0,1,2,1,1,1,1
15,1,3,1,32,1,1,0,1,1,1,1,1,1
16,1,3,1,38,1,1,0,1,1,1,2,1,1
17,1,3,1,65,1,1,0,2,2,1,1,1,1
18,1,3,1,51,1,1,0,2,2,1,1,1,1
19,1,1,1,43,1,1,0,1,1,1,1,1,2
20,2,1,1,39,1,1,0,1,2,1,1,1,1
21,4,3,1,37,1,1,0,2,2,1,2,1,1
22,1,3,1,29,1,1,0,2,2,2,2,1,1
23,2,1,1,61,1,1,0,1,2,1,2,1,2
24,1,1,1,42,1,1,0,2,2,2,1,1,1
25,1,3,1,65,1,1,0,2,2,2,2,1,1
26,1,1,1,49,1,1,0,2,2,2,2,1,1
27,1,1,1,31,1,1,0,2,2,1,1,1,1
28,4,3,2,57,1,1,0,2,2,2,2,1,1
29,4,1,2,20,1,1,0,2,2,2,2,2,2
30,2,3,1,19,1,1,0,2,2,2,2,2,2
31,1,3,1,51,1,1,0,1,2,1,2,1,1
32,2,1,1,48,1,1,0,1,1,1,1,1,1
33,1,1,1,83,1,1,0,1,1,1,1,1,1
34,1,3,1,79,1,1,0,1,2,1,1,1,2
35,1,1,1,38,1,1,0,2,1,1,1,1,1
36,2,1,1,80,1,1,0,2,2,1,1,1,1
37,1,3,1,36,1,1,0,2,2,1,1,1,2
38,1,1,1,61,1,1,0,1,2,1,1,1,1
39,1,1,1,55,1,1,0,1,2,1,1,1,1
40,1,1,1,40,1,1,0,1,2,1,1,1,1
41,1,3,1,34,1,1,0,1,2,1,2,1,2
42,2,1,1,43,1,1,0,2,2,1,1,1,1
43,1,1,1,76,1,1,0,2,1,1,1,1,2
44,5,3,1,40,1,1,0,1,2,1,1,1,1
45,1,1,1,52,1,1,0,2,2,2,1,1,1
46,1,3,1,62,1,1,0,1,2,1,1,1,2
47,1,1,1,43,1,1,0,1,2,1,1,1,1
